dataset,mut-type,dp,pd,tr,ada,bag,pwm
pd-k562-pe2,sub,"[0.46604674467439366, 0.5183533991466369, 0.4717318836479554, 0.4924717827275593, 0.5134406322709282]","[0.48528235204620884, 0.5327716441223735, 0.5326400484214178, 0.5223317927372477, 0.4834280537700195]","[0.3983309909039754, 0.4071721390929568, 0.43225746234141305, 0.44850228929898606, 0.4402956996803633]","[0.5256882035063939, 0.48720057672002326, 0.5002410049525994, 0.5219760018673134, 0.5300889711003794]","[0.5236366982589689, 0.47585267425996314, 0.4962471761431641, 0.5257895090003244, 0.5307570630150897]","[0.5130432227529749, 0.4850984234848781, 0.49499621357381507, 0.5219892088812941, 0.525548880430736]"
pd-k562-pe2,ins,"[0.659657390592642, 0.6657552405809071, 0.6663538640507127, 0.6284439765163139, 0.721146890469397]","[0.7261501891431976, 0.6802956232599673, 0.6762204991979388, 0.6884134604758039, 0.6782684775950258]","[0.5934498730093694, 0.5745835052769337, 0.5635696242824508, 0.5901687106142219, 0.6146284645702877]","[0.605902566614507, 0.6083447472194803, 0.6123408045769957, 0.5895593563573668, 0.6166227966945017]","[0.622757412131939, 0.6136989362770761, 0.6162782582732804, 0.5944543975358505, 0.6342613836791606]","[0.6059698913540217, 0.6027251983455102, 0.6135025658663658, 0.5928443054334167, 0.6202507989468415]"
pd-k562-pe2,del,"[0.20167529420228902, 0.2909392675072411, 0.17221468035196352, 0.20521945703927713, 0.22211013903721621]","[0.09554314253791674, 0.13757767030832824, 0.08350485321466294, 0.35835396743925685, 0.15275151332301107]","[0.24262249537933656, 0.19895617154583078, 0.15190777862520477, 0.25978696885674424, 0.2634895366592289]","[0.2625863602296167, 0.26300390790677586, 0.1780140837898886, 0.3258869200460157, 0.313089919453703]","[0.27242433791159215, 0.2665121250271884, 0.18843491628430795, 0.33437485704793, 0.31756828038255425]","[0.27287578063976525, 0.26736053045447505, 0.1819946112875499, 0.3340155907716422, 0.3204870821157897]"
pd-adv-pe2,sub,"[0.41905843151328526, 0.4486001835241826, 0.4372015352028029, 0.485938410559541, 0.457607275681577]","[0.41586239379418544, 0.43465813774807316, 0.49521961777098866, 0.5384054723006955, 0.503507097075423]","[0.29027432738601533, 0.3526257860367541, 0.3341644361775409, 0.3332799257198502, 0.37901648685517175]","[0.3875624975865394, 0.45604641538036916, 0.3529848094006035, 0.4543628980716724, 0.4251470674622095]","[0.3995852438705954, 0.4479827947374377, 0.3684219161845157, 0.4531382100815238, 0.41082668087876256]","[0.3835867054779776, 0.4545611132396852, 0.3574773999236456, 0.4481032437932342, 0.4181124638202871]"
pd-adv-pe2,ins,"[0.5589685090665455, 0.6910609402821848, 0.6181108605188506, 0.5828568229522659, 0.6418683493876323]","[0.5531506555135479, 0.6182109284000523, 0.6569685395196103, 0.6117375195223929, 0.763737449531682]","[0.5024690038683843, 0.582146389803361, 0.5535072407225812, 0.4640265763218032, 0.6144301175394631]","[0.5460098275624216, 0.5271066651934803, 0.5536962566046408, 0.5062358924469903, 0.6275816584258427]","[0.5654362217539594, 0.5638276295308782, 0.5677600368513557, 0.5371548053078564, 0.6417461335673261]","[0.5474293072550438, 0.5391278881033656, 0.5617430937753625, 0.5093123381213616, 0.6341059579905348]"
pd-adv-pe2,del,"[0.0673700434736304, 0.11924914682256826, 0.12023414068607963, 0.053272186543210864, 0.10487298790178556]","[0.13058225942290846, 0.1429803164293162, 0.15794908405814567, 0.0815638584991234, 0.07286985772901744]","[0.09038878127259409, 0.13732902987042905, 0.08665615248114023, 0.0844465532312455, 0.08309770167636543]","[0.10537904454326695, 0.18759466729743673, 0.07997464958201797, 0.11205637415104665, 0.10391762657174888]","[0.1064258610142911, 0.18612101189544877, 0.12172399150887034, 0.11746368284538322, 0.0855570668573434]","[0.116236672755619, 0.19907743778428255, 0.09054905328542873, 0.11693789134335475, 0.10528243575699747]"
pd-hek293t-pe2,sub,"[0.6871221880808349, 0.7248561553795514, 0.7262150623039503, 0.7125855292433538, 0.7547184713572879]","[0.6952006031921378, 0.7129028203266756, 0.7257350028705787, 0.731944912683403, 0.7283007168837656]","[0.6767678973538978, 0.6272500883228798, 0.6802611169739592, 0.7010295008677359, 0.7032846057607571]","[0.7573473389130904, 0.7528405252075366, 0.769348423457024, 0.77262474447675, 0.7664146367315091]","[0.7570738467029869, 0.7593067567926777, 0.7738281770673612, 0.7788184777829719, 0.7711590708248202]","[0.7598550280064451, 0.755630338325993, 0.766447279405341, 0.7675586751590365, 0.7641839184753536]"
pd-hek293t-pe2,ins,"[0.7587295701293044, 0.7512646488634687, 0.7685595606777724, 0.7399732745029795, 0.7798218752184027]","[0.7961834530391059, 0.7593237864898867, 0.761449784219792, 0.712577191432004, 0.7829405524290654]","[0.806907208942528, 0.769398672731441, 0.7814061341179936, 0.77574831122039, 0.7729399410068893]","[0.8250486919657257, 0.8046472820073133, 0.8083018765838029, 0.7844958859783281, 0.7975410940575909]","[0.8263648734061128, 0.806784974416692, 0.8113195134064419, 0.7854106132704621, 0.7956296257831305]","[0.825029654075621, 0.802469290681362, 0.805261813582657, 0.7832264297449427, 0.7964322870530696]"
pd-hek293t-pe2,del,"[0.6807041272308538, 0.7978537938720649, 0.7435794640110771, 0.7451964948743139, 0.780924574968239]","[0.7701874575944174, 0.7542614232159792, 0.7465408615530009, 0.7552081248847884, 0.7613084458222943]","[0.7486335311087515, 0.7330758508105646, 0.7398934144377165, 0.7613497952383206, 0.773319087340866]","[0.7854035752688779, 0.8030443224172791, 0.7599720729902473, 0.7707126795368894, 0.7819179758366392]","[0.7833920529516416, 0.797310991958073, 0.7570010628006185, 0.7701583604042095, 0.7764844373395234]","[0.786457546454566, 0.7942800765846414, 0.7484436182596426, 0.7645343165556255, 0.7769823079376863]"
pd-k562mlh1dn-pe2,sub,"[0.7010700306503139, 0.7305693162420628, 0.7171020186861341, 0.7273693501873089, 0.7170732998766312]","[0.6467517270951681, 0.6307739709985114, 0.7058550325837629, 0.6561534178641608, 0.7182887340877215]","[0.6297377279423486, 0.6268402387998036, 0.6462016829644774, 0.63681427799429, 0.6418867175991423]","[0.7020893270101649, 0.6847981131004105, 0.6990401400192224, 0.7212824548998165, 0.7124367683470438]","[0.7105527921357859, 0.686974994518619, 0.7026817843832777, 0.7204489563511831, 0.7137260136760807]","[0.7010576543254601, 0.6838994191343133, 0.7005046045074135, 0.7168129360818796, 0.7111273418817099]"
pd-k562mlh1dn-pe2,ins,"[0.8089889864639481, 0.7669403602452611, 0.7809548861448974, 0.7680335991787786, 0.7534663147595779]","[0.7787511645337819, 0.7049273031389021, 0.7637976892503611, 0.7282371264214476, 0.777707734868418]","[0.7336521011993433, 0.7252448662394926, 0.7438924288116482, 0.7026715808064523, 0.6632047379947181]","[0.7614946130611523, 0.7443877597729048, 0.7413765979974578, 0.73019455106389, 0.7271838807668553]","[0.7643985727514929, 0.7424600496214699, 0.746886772012677, 0.7263459257566194, 0.726159169225487]","[0.7539678277389719, 0.7373334093733774, 0.7343547101914609, 0.719175063040268, 0.7160304116468836]"
pd-k562mlh1dn-pe2,del,"[0.7480065045505078, 0.7064445775600561, 0.6928762241901367, 0.7068668202792594, 0.7485432729975798]","[0.671197562518671, 0.6138243382221624, 0.6598922322226599, 0.6554675082372974, 0.7103405738686774]","[0.6596337970840978, 0.6661145525222025, 0.6411863240877711, 0.6579807371476392, 0.7361084824080137]","[0.6877763735740514, 0.7003803485568456, 0.6281303879275203, 0.6674176220522621, 0.7025643803971634]","[0.6894532355709413, 0.6951525991612885, 0.6240872676611839, 0.6746127127529585, 0.7045884289854685]","[0.6889492815549403, 0.6927832483656431, 0.6225896528741259, 0.658608716838387, 0.7054384571574772]"
dp-hek293t-pe2,sub,"[0.7505711232083019, 0.7400632808115415, 0.7389066711351208, 0.7540895995844605, 0.7477043420260174]","[0.7587219734292562, 0.7624203283989881, 0.7550033769503526, 0.7456278633865409, 0.7467586445560183]","[0.6985382392308984, 0.7010909683892621, 0.6878899542165946, 0.699121351737518, 0.699761320200595]","[0.686450177563722, 0.6906660241303821, 0.6803609301342454, 0.6927370408625626, 0.6835030241675752]","[0.6857036926067407, 0.6919928860756427, 0.681345111392123, 0.6945398400862413, 0.6861383643496954]","[0.6851220997748603, 0.6896198467983989, 0.6801345251266446, 0.687978911351956, 0.6842869305558441]"
dp-hek293t-pe2,ins,"[0.7129949679176006, 0.7206385030921796, 0.6897382252735539, 0.7112109693890789, 0.7091417651530707]","[0.7329201506958918, 0.7350464200604686, 0.7211908097636555, 0.7133939981738697, 0.720513629880789]","[0.6746838182399777, 0.6777452575070476, 0.6573371232429919, 0.6706385391863949, 0.6747296765950349]","[0.6718560809415076, 0.668815992390259, 0.6511292357322858, 0.6604049505220232, 0.6641759200205688]","[0.67337723596453, 0.6704246434449797, 0.6516968751053087, 0.6631454708735122, 0.6647967987579204]","[0.6694512371924264, 0.6674254649693379, 0.6488593176462121, 0.6544912505144902, 0.6634743400350912]"
dp-hek293t-pe2,del,"[0.6879473308268014, 0.687618481783602, 0.667578459548909, 0.6804173896352361, 0.6784530531131074]","[0.7117229177532693, 0.7081102091928355, 0.7070885403498386, 0.6681719207309664, 0.6903793354863268]","[0.669999499524706, 0.6536197257835601, 0.6455347941195813, 0.6501162525857143, 0.6620023555610586]","[0.6578727531504192, 0.648022931694187, 0.6338283545274144, 0.6448500979005422, 0.6335621789085737]","[0.6552614874572131, 0.6494630241199084, 0.6337679288159653, 0.6430092352374073, 0.6336536256260862]","[0.6508760166694145, 0.6447351854797432, 0.6310071614029621, 0.6392021725709438, 0.6300749415259711]"
